filename,Flour,Baking powder,Baking soda,Butter,Egg,Cinnamon,Cream,Milk,Pecan,Sugar,Salt,Oil,Walnut,Water
069_PNG_jpg.rf.01347c1d5377dfa5e127c60e4a871d7b.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
077_PNG_jpg.rf.0875cf3d368643b968c1fb7a90ca28f4.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
077_PNG_jpg.rf.0a3fb2cfdbae28df90ac8c8d3cec6d19.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
041_PNG_jpg.rf.0a643d5d4aa6c538dbf9d3fe7b222bf5.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
049_PNG_jpg.rf.0d48f4749cb916fb13153e3b50d43ca9.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
060_PNG_jpg.rf.0fc0e54fdc4ac561a0161b2e25d3cb6b.jpg,,,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,
030_PNG_jpg.rf.11995ad4f0ffb79197282ffb17c7766e.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
041_PNG_jpg.rf.12d5ef221f73e7d4ff50bffaaf0aa4ac.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
077_PNG_jpg.rf.134903fa6a89c82647d962c544f8c4a0.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
033_PNG_jpg.rf.f8935fa356c17cec48a18ac92e4be253.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
033_PNG_jpg.rf.fbb73b6c6163448aecf36281ea07ce87.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
ea4733e064f9e87806c62aa48e5378f81_jpg.rf.fe1dbd863f06a684ce85834c707b65b2.jpg,,,,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,
030_PNG_jpg.rf.13eb660aede0d5b192663dfdfacd4ecb.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
041_PNG_jpg.rf.187c7614be07d8225567d84004e9527c.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
041_PNG_jpg.rf.1bedfa3295c91d28c69c37484c1be436.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
077_PNG_jpg.rf.2014939865424737aa1ff870b41fe2bf.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
ea4733e064f9e87806c62aa48e5378f81_jpg.rf.23121d4b34f5723874108bc688783a28.jpg,,,,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,
060_PNG_jpg.rf.24f7c8479b06165b8b5608c77098526a.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
069_PNG_jpg.rf.288d6d282522586baff0b6e24bcf6487.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
077_PNG_jpg.rf.28a8365e54dedc1b24512fc1d773ae12.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
041_PNG_jpg.rf.2dd19854bbf2b8147e9fb09ba71da8d6.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
049_PNG_jpg.rf.30270f82b418aedd4f69941ea1831648.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
033_PNG_jpg.rf.341951f0c6226e2dc04e76d5d7723050.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
041_PNG_jpg.rf.357b51d0eca4571327b6194939464d0c.jpg,,,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
ea4733e064f9e87806c62aa48e5378f81_jpg.rf.aa861fa1dcf6bb7dce3e08a6fa881aab.jpg,,,,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,
030_PNG_jpg.rf.b53471e2d90a5716064bf40f3a110c4f.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
030_PNG_jpg.rf.b74297fd14a7d88e6dfb983e7e32678a.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
077_PNG_jpg.rf.bfda23a06e9d1fdd13d98bc119ad3e96.jpg,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
